id;first_name;last_name;full_name;biography;photo_url;birth_date;death_date;nationality;created_at;updated_at
1;Martina;Bechtelar;embarrassment decryption on;../fake-data/blob/hipster.txt;governance ugh tail;2025-11-07;2025-11-08;hasty;2025-11-07T12:14:53;2025-11-07T22:37:03
2;Maye;Bode;extent display;../fake-data/blob/hipster.txt;boo nimble;2025-11-07;2025-11-07;knotty;2025-11-08T04:14:59;2025-11-07T23:58:49
3;Lisandro;Collins;inasmuch aside outside;../fake-data/blob/hipster.txt;aboard frankly present;2025-11-07;2025-11-08;male unlined dish;2025-11-08T01:32:04;2025-11-08T02:53:11
4;Arnold;Borer;coexist past meh;../fake-data/blob/hipster.txt;rotten upside-down for;2025-11-08;2025-11-07;round accessorise;2025-11-07T20:31:57;2025-11-08T09:42:50
5;Marguerite;McClure;glum;../fake-data/blob/hipster.txt;rebuff admired finally;2025-11-07;2025-11-07;considering;2025-11-07T14:46:12;2025-11-07T19:14:39
6;Cleve;Kautzer;state;../fake-data/blob/hipster.txt;outbid;2025-11-07;2025-11-07;forenenst psst;2025-11-07T19:55:11;2025-11-07T20:59:39
7;Tanner;Murphy;psst nor;../fake-data/blob/hipster.txt;bah uncover ha;2025-11-08;2025-11-07;hm gloss wildly;2025-11-08T03:37:02;2025-11-07T23:19:10
8;Dexter;Balistreri;enormously loftily;../fake-data/blob/hipster.txt;useless;2025-11-08;2025-11-07;oh mushy round;2025-11-08T06:31:44;2025-11-07T19:10:06
9;Renee;Leannon;taro obedient;../fake-data/blob/hipster.txt;because;2025-11-07;2025-11-07;incidentally;2025-11-08T03:41:34;2025-11-08T06:17:45
10;Patricia;West;gadzooks;../fake-data/blob/hipster.txt;untimely starch parody;2025-11-08;2025-11-07;briefly cap;2025-11-08T08:53:59;2025-11-07T16:21:03
